StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q22,Q96,Q107_1,Q99,Q114_1,Q100,Q115_1,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q101,Q116_1,Q102,Q117_1,Q103,Q118_1,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q31,Q31_DO,Q80,Q90,Q47,Q119,Q59_4,Q59_10,Q59_5,Q59_8,Q59_9,Q59_11,Q59_12,Q59_14,Q59_7,Q92,Q77,Q95,Q78,Q91,Q79_1,Q79_2,Q52,Q53,Q82,Q83,SC0,SC1,Random ID,Create New Field or Choose From Dropdown...,FL_6_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please check each statement concerning the collection and use of the research data:

 

- I have read and understood the participant information sheet.

 

- I have been given the opportunity to ask questions and have had them answered to my satisfaction.

 

- I understand that my participation is voluntary and that I am free to withdraw at any time without giving a reason.

 

- I understand that all questions are optional.

 

- I understand that my data will be pseudonymised (including the removal of any names or specific locations mentioned).

 

- I understand that answers I give may be included in a research publication in a way which is non-identifiable.

 

- I understand that non-identifiable data from this user study will be collated with the answers of other participants and the dataset will made available online for research transparency purposes.",On what date did you accept the Terms of Service (ToS)? (leave blank if unable to answer),How certain are you of your answer?,What was the distance you ran on this particular session? (leave blank if unable to answer),How certain are you of your answer?,Why was an advert for Serenity Yoga Centre shown to you? (leave blank if unable to answer),How certain are you of your answer?,To what extent do you agree with the following? - I would like this style of disclosure interface to become more widely used.,To what extent do you agree with the following? - I found the disclosure interface unnecessarily complex.,To what extent do you agree with the following? - I thought the disclosure interface was easy to use.,To what extent do you agree with the following? - I think that I would need the support of a technical person to be able to use this disclosure interface.,To what extent do you agree with the following? - I found the various functions in this disclosure interface were well integrated.,To what extent do you agree with the following? - I thought there was too much inconsistency in this disclosure interface.,To what extent do you agree with the following? - I would imagine that most people would learn to use this disclosure interface very quickly.,To what extent do you agree with the following? - I found the disclosure interface very cumbersome to use.,To what extent do you agree with the following? - I felt very confident using the disclosure interface.,To what extent do you agree with the following? - I feel that I would need to learn a lot of things before I could get going with this disclosure interface.,On what date did you accept the Terms of Service (ToS)? (leave blank if you're unable to answer),How certain are you of your answer?,What was the distance you ran on this particular session? (leave blank if unable to answer),How certain are you of your answer?,Why was an advert for Serenity Yoga Centre shown to you? (leave blank if unable to answer),How certain are you of your answer?,To what extent do you agree with the following? - I would like this style of disclosure interface to become more widely used.,To what extent do you agree with the following? - I found the disclosure interface unnecessarily complex.,To what extent do you agree with the following? - I thought the disclosure interface was easy to use.,To what extent do you agree with the following? - I think that I would need the support of a technical person to be able to use this disclosure interface.,To what extent do you agree with the following? - I found the various functions in this disclosure interface were well integrated.,To what extent do you agree with the following? - I thought there was too much inconsistency in this disclosure interface.,To what extent do you agree with the following? - I would imagine that most people would learn to use this disclosure interface very quickly.,To what extent do you agree with the following? - I found the disclosure interface very cumbersome to use.,To what extent do you agree with the following? - I felt very confident using the disclosure interface.,To what extent do you agree with the following? - I feel that I would need to learn a lot of things before I could get going with this disclosure interface.,Which disclosure interface did you prefer?,Which disclosure interface did you prefer? - Display Order,"When using the disclosure interfaces, what did you like or find helpful?","When using the disclosure interfaces, what did you dislike or find unhelpful?",What advice would you give a designer of a disclosure interface in order to make it more user-friendly?,"Reflecting back on the tasks, do you have any further thoughts you'd like to share?",Please order the reasons for which you would be interested in obtaining your data from an organisation (where 1 is most interested): - General interest,Please order the reasons for which you would be interested in obtaining your data from an organisation (where 1 is most interested): - Find a particular bit of information,Please order the reasons for which you would be interested in obtaining your data from an organisation (where 1 is most interested): - Concern or distrust of the organisation,Please order the reasons for which you would be interested in obtaining your data from an organisation (where 1 is most interested): - Legal reasons,Please order the reasons for which you would be interested in obtaining your data from an organisation (where 1 is most interested): - Archival purposes,Please order the reasons for which you would be interested in obtaining your data from an organisation (where 1 is most interested): - To transfer that data to another service,Please order the reasons for which you would be interested in obtaining your data from an organisation (where 1 is most interested): - Verify correct information,Please order the reasons for which you would be interested in obtaining your data from an organisation (where 1 is most interested): - Ensure that no unwanted data is being stored,Please order the reasons for which you would be interested in obtaining your data from an organisation (where 1 is most interested): - Other,"If you have an 'Other' in mind for the previous question, please elaborate",Have you ever requested your data from an organisation?,Please list the key reason(s) motivating you to request your information,"Please comment on usefulness, and what you liked about the presentation of the data provided by the organisation(s)",Please commented on what you disliked about the presentation of the data provided by the organisation(s),How would you evaluate your knowledge of the following? - Technical expertise,How would you evaluate your knowledge of the following? - Knowledge of the GDPR,Gender:,Age:,Country,Which country do you live in?,Control,Modified,Random ID,Create New Field or Choose From Dropdown...,FL_6 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID22""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID114_1""}","{""ImportId"":""QID100_TEXT""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_6""}","{""ImportId"":""QID7_7""}","{""ImportId"":""QID7_8""}","{""ImportId"":""QID7_9""}","{""ImportId"":""QID7_10""}","{""ImportId"":""QID101_TEXT""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID103_TEXT""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID31""}","{""ImportId"":""QID31_DO""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID119_TEXT""}","{""ImportId"":""QID59_1""}","{""ImportId"":""QID59_2""}","{""ImportId"":""QID59_3""}","{""ImportId"":""QID59_4""}","{""ImportId"":""QID59_5""}","{""ImportId"":""QID59_6""}","{""ImportId"":""QID59_7""}","{""ImportId"":""QID59_8""}","{""ImportId"":""QID59_9""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID94_TEXT""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID79_2""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""SC_eIIlJtKbZIS401T""}","{""ImportId"":""SC_4ODuGc2t17jHap7""}","{""ImportId"":""Random ID""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""FL_6_DO""}"
Anon,Anon,IP Address,Anon,100,623,TRUE,Anon,Anon,,,,,Anon,Anon,Anon,EN-GB,"I have read and agree with each of the above statements, and I agree to take part in the study.",1583433560 (which I guess is hexadecimal for a date),Uncertain,"4790 (hexadecimal of a distance, I guess)",Uncertain,"Because I may have low mood, like fast food, and am interested in events in Cambridge",Uncertain,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,05/03/2020,Very certain,4.79km,Very certain,Inference that I may be suffering low mood,Very certain,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Browser-based Disclosure Interface,Browser-based Disclosure Interface|File-based Disclosure Interface,"Terminology was clearer in the Browser-based interface, but both enabled a direct correlation to be made between the factors and the inferences made, which is useful","Felt very much as if the starting point was the data, and that the interface was built around that - surely better to start with user requirement and work backwards and adapt the data format accordingly?","Use plain english terminology, clear headings, and put numbers such as dates and distances in standard format, not code-based form",,8,6,5,2,3,7,1,4,9,,No,,,,Some knowledge,Some knowledge,Female,40 - 49,UK,,34,23,18623,,Modified|Control
Anon,Anon,IP Address,Anon,100,1069,TRUE,Anon,Anon,,,,,Anon,Anon,Anon,EN-GB,"I have read and agree with each of the above statements, and I agree to take part in the study.",,Couldn't answer,4790,Very certain,Low mood so the yoga advert for inner wellness was shown.,Very certain,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,05/03/2020,Very certain,4.79km,Very certain,May be suffering from low mood so serenite yoga advert was shown.,Very certain,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Browser-based Disclosure Interface,File-based Disclosure Interface|Browser-based Disclosure Interface,"The Brower-based interface was graphical, clearly laid out and organised.
",The File-based interface was difficult to understand at points.,Show more graphs for data and organise basic information into a table.,,7,5,3,2,6,8,4,1,9,,No,,,,Good level of knowledge,Good level of knowledge,Female,18 - 29,UK,,56,35,43544,,Control|Modified
Anon,Anon,IP Address,Anon,100,1648,TRUE,Anon,Anon,,,,,Anon,Anon,Anon,EN-GB,"I have read and agree with each of the above statements, and I agree to take part in the study.",05/03/2020,Very certain,"4790, units not specified (probably metres)",Uncertain,,Couldn't answer,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,2020-03-05 (05/03/2020),Very certain,4.79 km,Very certain,"Perceived low mood, based on exercise and music data. ",Very certain,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Browser-based Disclosure Interface,Browser-based Disclosure Interface|File-based Disclosure Interface,"Both appeared reasonably honest about the workings of their advertising AI, with inferences being drawn both listed and (for the browser-based, at least) linked with their source data. This genuinely WOULD be useful to the customer (though of course there's no guarantee that it's a true and complete record). ","The handling of dates was very poor in both cases; the browser mixed US and UK day-month orderings in the same page(!), whereas the file-based used raw Unix Timestamps (!!) - completely unintelligible to the average customer, as would be the use of JSON files in general. ","Present it using familiar display and navigation formats (HTML-based), and be consistent in your use of numerical data formats and units display. ",,6,3,4,5,8,7,2,1,9,,No,,,,Advanced knowledge,Some knowledge,Male,50 - 59,UK,,29,23,61416,,Modified|Control
Anon,Anon,IP Address,Anon,100,511,TRUE,Anon,Anon,,,,,Anon,Anon,Anon,EN-GB,"I have read and agree with each of the above statements, and I agree to take part in the study.",,Couldn't answer,4790,Uncertain,,Couldn't answer,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,05/03/2020,Very certain,4.79km,Very certain,"it matched the categories 'low mood' and 'cambridge, uk'",Very certain,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Browser-based Disclosure Interface,Browser-based Disclosure Interface|File-based Disclosure Interface,I liked the browser based as the information you needed was easily found,I didn't like the file based one as it was too hard and it took too long to extract any information.,"Use different colours for different sections. 
Include a tutorial",,2,3,5,6,7,4,1,8,9,,No,,,,Advanced knowledge,Good level of knowledge,Female,30 - 39,UK,,34,31,40558,,Modified|Control
Anon,Anon,IP Address,Anon,100,1078,TRUE,Anon,Anon,,,,,Anon,Anon,Anon,EN-GB,"I have read and agree with each of the above statements, and I agree to take part in the study.",03/05/2020 6:39pm,Very certain,4790,Very certain,"Inferences: I'm suffering from a low mood, and am interested in events in Cambridge",Very certain,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,05/03/2020 18:39,Very certain,4.79 km,Very certain,Because I am suffering from a low mood because my exercise frequency decreased and my downbeat music streaming increased,Very certain,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Browser-based Disclosure Interface,Browser-based Disclosure Interface|File-based Disclosure Interface,"File-based: I like the colour coded code, the short and simple structure.
Browser-based: I like the clean UI, and the nav bar on the left.","File-based: the coded timestamps, and having to scroll down through the code to find what I need, whereas the browser-based one had everything I needed on one page.
Browser-based: too clean a UI, no colour or anything eye-catching.","Non-technical people wouldn't know to paste the 10-digit Unix timestamp into a converter to get the actual timestamp, and they would generally look at code with a closed mind, so the HTML/browser-based interface is definitely the way to go when catering to a wider audience. Something eye-catching (colourful, with images, sleek), simple and easy to click through to find what I need is always the best.",,8,6,1,3,7,4,5,2,9,,No,,,,Expert knowledge,Some knowledge,Male,18 - 29,UK,,66,40,53424,,Control|Modified
Anon,Anon,IP Address,Anon,100,322,TRUE,Anon,Anon,,,,,Anon,Anon,Anon,EN-GB,"I have read and agree with each of the above statements, and I agree to take part in the study.",,Couldn't answer,,Couldn't answer,,Couldn't answer,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,,Couldn't answer,,Couldn't answer,,Couldn't answer,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Browser-based Disclosure Interface,Browser-based Disclosure Interface|File-based Disclosure Interface,Browser based - easy to use,File Based is difficult to understand,Label can be bold or different colors to the heading,,1,2,5,3,6,4,7,8,9,,No,,,,Some knowledge,Some knowledge,Male,30 - 39,UK,,22,16,54238,,Modified|Control
Anon,Anon,IP Address,Anon,100,788,TRUE,Anon,Anon,,,,,Anon,Anon,Anon,EN-GB,"I have read and agree with each of the above statements, and I agree to take part in the study.",05-Mar-20,Very certain,4790 metres,Very certain,,Couldn't answer,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,05-Mar-20,Very certain,4.79 km,Very certain,because my mood was low,Very certain,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Browser-based Disclosure Interface,File-based Disclosure Interface|Browser-based Disclosure Interface,"I like the file based interface because it contains all the underlying data, but the browser one (which I imagine is generated from the file data) is more understandable specially for non technical people who do not know how to interpret the raw data. ","I dislike the file based interface because one doesn't necessarily know how to interpret it. But I dislike the browser one because it is not easily machine readable, so for example I can't write a script to extract the data easily.",Use the file based interface but provide an additional document explaining how to interpret the data.,,1,2,6,8,4,7,3,5,9,,No,,,,Advanced knowledge,Some knowledge,Male,40 - 49,UK,,62,37,26622,,Control|Modified
Anon,Anon,IP Address,Anon,100,634,TRUE,Anon,Anon,,,,,Anon,Anon,Anon,EN-GB,"I have read and agree with each of the above statements, and I agree to take part in the study.",,Couldn't answer,,Couldn't answer,May be suffering low mood.,Very certain,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,05/03/2020,Very certain,4.79km,Very certain,Low mood and reduction in exercising.,Very certain,Somewhat agree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Browser-based Disclosure Interface,Browser-based Disclosure Interface|File-based Disclosure Interface,The browser based was easiest to use and understand. I did not like anything at all about the other method.,You would need a code key to use the file system as it is very difficult to decipher the data. It is also not eye friendly. The other system has no real flaws.,Keep it as simple and obvious as possible.,,4,5,1,7,6,8,3,2,9,,No,,,,Advanced knowledge,Good level of knowledge,Male,50 - 59,UK,,42,37,41836,,Modified|Control
